epoch,loss,hits@20,hits@50,hits@100,mrr
1,0.6931126117706299,1.0,1.0,1.0,0.6246580865078123
2,44.4213752746582,1.0,1.0,1.0,0.6396415990346769
3,0.6801443696022034,1.0,1.0,1.0,0.5103798832547509
4,0.6709458827972412,1.0,1.0,1.0,0.5006452435005556
5,0.7025942802429199,1.0,1.0,1.0,0.5000269223705035
6,0.6722795963287354,1.0,1.0,1.0,0.46820416933047326
7,0.689468502998352,1.0,1.0,1.0,0.4068664903924898
8,0.6947434544563293,1.0,1.0,1.0,0.4608385612083152
9,0.6977564096450806,1.0,1.0,1.0,0.4726806834720639
10,0.7041009664535522,1.0,1.0,1.0,0.4881457341504822
